wl	n	k
1.295	2.785	2.98E-04
1.296	2.784	2.97E-04
1.297	2.784	2.95E-04
1.298	2.784	2.93E-04
1.299	2.784	2.91E-04
1.3	2.784	2.89E-04
1.301	2.783	2.87E-04
1.302	2.783	2.85E-04
1.303	2.783	2.83E-04
1.304	2.783	2.81E-04
1.305	2.782	2.80E-04
1.306	2.782	2.78E-04
1.307	2.782	2.76E-04
1.308	2.782	2.74E-04
1.309	2.782	2.72E-04
1.31	2.781	2.70E-04
1.311	2.781	2.69E-04
1.312	2.781	2.67E-04
1.313	2.781	2.65E-04
1.314	2.781	2.63E-04
1.315	2.78	2.61E-04
1.316	2.78	2.60E-04
1.317	2.78	2.58E-04
1.318	2.78	2.56E-04
1.319	2.78	2.54E-04
1.32	2.779	2.53E-04
1.321	2.779	2.51E-04
1.322	2.779	2.49E-04
1.323	2.779	2.48E-04
1.324	2.779	2.46E-04
1.325	2.778	2.44E-04
1.326	2.778	2.43E-04
1.327	2.778	2.41E-04
1.328	2.778	2.39E-04
1.329	2.778	2.38E-04
1.33	2.778	2.36E-04
1.331	2.777	2.34E-04
1.332	2.777	2.33E-04
1.333	2.777	2.31E-04
1.334	2.777	2.30E-04
1.335	2.777	2.28E-04
1.336	2.776	2.26E-04
1.337	2.776	2.25E-04
1.338	2.776	2.23E-04
1.339	2.776	2.22E-04
1.34	2.776	2.20E-04
1.341	2.775	2.19E-04
1.342	2.775	2.17E-04
1.343	2.775	2.16E-04
1.344	2.775	2.14E-04
1.345	2.775	2.13E-04
1.346	2.775	2.11E-04
1.347	2.774	2.10E-04
1.348	2.774	2.08E-04
1.349	2.774	2.07E-04
1.35	2.774	2.05E-04
1.351	2.774	2.04E-04
1.352	2.773	2.02E-04
1.353	2.773	2.01E-04
1.354	2.773	1.99E-04
1.355	2.773	1.98E-04
1.356	2.773	1.96E-04
1.357	2.773	1.95E-04
1.358	2.772	1.94E-04
1.359	2.772	1.92E-04
1.36	2.772	1.91E-04
1.361	2.772	1.89E-04
1.362	2.772	1.88E-04
1.363	2.771	1.87E-04
1.364	2.771	1.85E-04
1.365	2.771	1.84E-04
1.366	2.771	1.83E-04
1.367	2.771	1.81E-04
1.368	2.771	1.80E-04
1.369	2.77	1.79E-04
1.37	2.77	1.77E-04
1.371	2.77	1.76E-04
1.372	2.77	1.75E-04
1.373	2.77	1.73E-04
1.374	2.77	1.72E-04
1.375	2.769	1.71E-04
1.376	2.769	1.69E-04
1.377	2.769	1.68E-04
1.378	2.769	1.67E-04
1.379	2.769	1.66E-04
1.38	2.769	1.64E-04
1.381	2.768	1.63E-04
1.382	2.768	1.62E-04
1.383	2.768	1.61E-04
1.384	2.768	1.59E-04
1.385	2.768	1.58E-04
1.386	2.768	1.57E-04
1.387	2.767	1.56E-04
1.388	2.767	1.54E-04
1.389	2.767	1.53E-04
1.39	2.767	1.52E-04
1.391	2.767	1.51E-04
1.392	2.767	1.50E-04
1.393	2.766	1.49E-04
1.394	2.766	1.47E-04
1.395	2.766	1.46E-04
1.396	2.766	1.45E-04
1.397	2.766	1.44E-04
1.398	2.766	1.43E-04
1.399	2.765	1.42E-04
1.4	2.765	1.40E-04
1.401	2.765	1.39E-04
1.402	2.765	1.38E-04
1.403	2.765	1.37E-04
1.404	2.765	1.36E-04
1.405	2.764	1.35E-04
1.406	2.764	1.34E-04
1.407	2.764	1.33E-04
1.408	2.764	1.32E-04
1.409	2.764	1.31E-04
1.41	2.764	1.30E-04
1.411	2.764	1.28E-04
1.412	2.763	1.27E-04
1.413	2.763	1.26E-04
1.414	2.763	1.25E-04
1.415	2.763	1.24E-04
1.416	2.763	1.23E-04
1.417	2.763	1.22E-04
1.418	2.762	1.21E-04
1.419	2.762	1.20E-04
1.42	2.762	1.19E-04
1.421	2.762	1.18E-04
1.422	2.762	1.17E-04
1.423	2.762	1.16E-04
1.424	2.761	1.15E-04
1.425	2.761	1.14E-04
1.426	2.761	1.13E-04
1.427	2.761	1.12E-04
1.428	2.761	1.11E-04
1.429	2.761	1.10E-04
1.43	2.761	1.09E-04
1.431	2.76	1.08E-04
1.432	2.76	1.07E-04
1.433	2.76	1.07E-04
1.434	2.76	1.06E-04
1.435	2.76	1.05E-04
1.436	2.76	1.04E-04
1.437	2.76	1.03E-04
1.438	2.759	1.02E-04
1.439	2.759	1.01E-04
1.44	2.759	1.00E-04
1.441	2.759	9.92E-05
1.442	2.759	9.83E-05
1.443	2.759	9.74E-05
1.444	2.759	9.65E-05
1.445	2.758	9.57E-05
1.446	2.758	9.48E-05
1.447	2.758	9.39E-05
1.448	2.758	9.31E-05
1.449	2.758	9.22E-05
1.45	2.758	9.14E-05
1.451	2.758	9.05E-05
1.452	2.757	8.97E-05
1.453	2.757	8.88E-05
1.454	2.757	8.80E-05
1.455	2.757	8.72E-05
1.456	2.757	8.64E-05
1.457	2.757	8.55E-05
1.458	2.757	8.47E-05
1.459	2.756	8.39E-05
1.46	2.756	8.31E-05
1.461	2.756	8.23E-05
1.462	2.756	8.15E-05
1.463	2.756	8.08E-05
1.464	2.756	8.00E-05
1.465	2.756	7.92E-05
1.466	2.755	7.84E-05
1.467	2.755	7.77E-05
1.468	2.755	7.69E-05
1.469	2.755	7.62E-05
1.47	2.755	7.54E-05
1.471	2.755	7.47E-05
1.472	2.755	7.39E-05
1.473	2.754	7.32E-05
1.474	2.754	7.24E-05
1.475	2.754	7.17E-05
1.476	2.754	7.10E-05
1.477	2.754	7.03E-05
1.478	2.754	6.96E-05
1.479	2.754	6.88E-05
1.48	2.754	6.81E-05
1.481	2.753	6.74E-05
1.482	2.753	6.67E-05
1.483	2.753	6.60E-05
1.484	2.753	6.54E-05
1.485	2.753	6.47E-05
1.486	2.753	6.40E-05
1.487	2.753	6.33E-05
1.488	2.752	6.27E-05
1.489	2.752	6.20E-05
1.49	2.752	6.13E-05
1.491	2.752	6.07E-05
1.492	2.752	6.00E-05
1.493	2.752	5.94E-05
1.494	2.752	5.87E-05
1.495	2.752	5.81E-05
1.496	2.751	5.74E-05
1.497	2.751	5.68E-05
1.498	2.751	5.62E-05
1.499	2.751	5.56E-05
1.5	2.751	5.50E-05
1.501	2.751	5.43E-05
1.502	2.751	5.37E-05
1.503	2.751	5.31E-05
1.504	2.75	5.25E-05
1.505	2.75	5.19E-05
1.506	2.75	5.13E-05
1.507	2.75	5.07E-05
1.508	2.75	5.02E-05
1.509	2.75	4.96E-05
1.51	2.75	4.90E-05
1.511	2.75	4.84E-05
1.512	2.749	4.79E-05
1.513	2.749	4.73E-05
1.514	2.749	4.67E-05
1.515	2.749	4.62E-05
1.516	2.749	4.56E-05
1.517	2.749	4.51E-05
1.518	2.749	4.45E-05
1.519	2.749	4.40E-05
1.52	2.748	4.34E-05
1.521	2.748	4.29E-05
1.522	2.748	4.24E-05
1.523	2.748	4.19E-05
1.524	2.748	4.13E-05
1.525	2.748	4.08E-05
1.526	2.748	4.03E-05
1.527	2.748	3.98E-05
1.528	2.748	3.93E-05
1.529	2.747	3.88E-05
1.53	2.747	3.83E-05
1.531	2.747	3.78E-05
1.532	2.747	3.73E-05
1.533	2.747	3.68E-05
1.534	2.747	3.63E-05
1.535	2.747	3.59E-05
1.536	2.747	3.54E-05
1.537	2.746	3.49E-05
1.538	2.746	3.44E-05
1.539	2.746	3.40E-05
1.54	2.746	3.35E-05
1.541	2.746	3.31E-05
1.542	2.746	3.26E-05
1.543	2.746	3.22E-05
1.544	2.746	3.17E-05
1.545	2.746	3.13E-05
1.546	2.745	3.08E-05
1.547	2.745	3.04E-05
1.548	2.745	3.00E-05
1.549	2.745	2.95E-05
1.55	2.745	2.91E-05
1.551	2.745	2.87E-05
1.552	2.745	2.83E-05
1.553	2.745	2.79E-05
1.554	2.744	2.74E-05
1.555	2.744	2.70E-05
1.556	2.744	2.66E-05
1.557	2.744	2.62E-05
1.558	2.744	2.58E-05
1.559	2.744	2.54E-05
1.56	2.744	2.51E-05
1.561	2.744	2.47E-05
1.562	2.744	2.43E-05
1.563	2.743	2.39E-05
1.564	2.743	2.35E-05
1.565	2.743	2.32E-05
1.566	2.743	2.28E-05
1.567	2.743	2.24E-05
1.568	2.743	2.21E-05
1.569	2.743	2.17E-05
1.57	2.743	2.13E-05
1.571	2.743	2.10E-05
1.572	2.742	2.06E-05
1.573	2.742	2.03E-05
1.574	2.742	2.00E-05
1.575	2.742	1.96E-05
1.576	2.742	1.93E-05
1.577	2.742	1.89E-05
1.578	2.742	1.86E-05
1.579	2.742	1.83E-05
1.58	2.742	1.80E-05
1.581	2.742	1.76E-05
1.582	2.741	1.73E-05
1.583	2.741	1.70E-05
1.584	2.741	1.67E-05
1.585	2.741	1.64E-05
1.586	2.741	1.61E-05
1.587	2.741	1.58E-05
1.588	2.741	1.55E-05
1.589	2.741	1.52E-05
1.59	2.741	1.49E-05
1.591	2.74	1.46E-05
1.592	2.74	1.43E-05
1.593	2.74	1.41E-05
1.594	2.74	1.38E-05
1.595	2.74	1.35E-05
1.596	2.74	1.32E-05
1.597	2.74	1.30E-05
1.598	2.74	1.27E-05
1.599	2.74	1.24E-05
1.6	2.74	1.22E-05
1.601	2.739	1.19E-05
1.602	2.739	1.17E-05
1.603	2.739	1.14E-05
1.604	2.739	1.12E-05
1.605	2.739	1.09E-05
1.606	2.739	1.07E-05
1.607	2.739	1.04E-05
1.608	2.739	1.02E-05
1.609	2.739	9.96E-06
1.61	2.739	9.73E-06
1.611	2.738	9.50E-06
1.612	2.738	9.27E-06
1.613	2.738	9.05E-06
1.614	2.738	8.83E-06
1.615	2.738	8.62E-06
1.616	2.738	8.40E-06
1.617	2.738	8.19E-06
1.618	2.738	7.99E-06
1.619	2.738	7.78E-06
1.62	2.738	7.58E-06
1.621	2.737	7.38E-06
1.622	2.737	7.19E-06
1.623	2.737	6.99E-06
1.624	2.737	6.80E-06
1.625	2.737	6.61E-06
1.626	2.737	6.43E-06
1.627	2.737	6.25E-06
1.628	2.737	6.07E-06
1.629	2.737	5.89E-06
1.63	2.737	5.72E-06
1.631	2.736	5.55E-06
1.632	2.736	5.38E-06
1.633	2.736	5.21E-06
1.634	2.736	5.05E-06
1.635	2.736	4.89E-06
1.636	2.736	4.73E-06
1.637	2.736	4.58E-06
1.638	2.736	4.43E-06
1.639	2.736	4.28E-06
1.64	2.736	4.13E-06
1.641	2.736	3.99E-06
1.642	2.735	3.85E-06
1.643	2.735	3.71E-06
1.644	2.735	3.57E-06
1.645	2.735	3.44E-06
1.646	2.735	3.31E-06
1.647	2.735	3.18E-06
1.648	2.735	3.06E-06
1.649	2.735	2.94E-06
1.65	2.735	2.82E-06
1.651	2.735	2.70E-06
1.652	2.734	2.58E-06
1.653	2.734	2.47E-06
1.654	2.734	2.36E-06
1.655	2.734	2.26E-06
1.656	2.734	2.15E-06
1.657	2.734	2.05E-06
1.658	2.734	1.95E-06
1.659	2.734	1.85E-06
1.66	2.734	1.76E-06
1.661	2.734	1.67E-06
1.662	2.734	1.58E-06
1.663	2.733	1.49E-06
1.664	2.733	1.41E-06
1.665	2.733	1.33E-06
1.666	2.733	1.25E-06
1.667	2.733	1.17E-06
1.668	2.733	1.10E-06
1.669	2.733	1.03E-06
1.67	2.733	9.58E-07
1.671	2.733	8.91E-07
1.672	2.733	8.27E-07
1.673	2.733	7.66E-07
1.674	2.732	7.06E-07
1.675	2.732	6.49E-07
1.676	2.732	5.95E-07
1.677	2.732	5.43E-07
1.678	2.732	4.94E-07
1.679	2.732	4.47E-07
1.68	2.732	4.02E-07
1.681	2.732	3.60E-07
1.682	2.732	3.20E-07
1.683	2.732	2.82E-07
1.684	2.732	2.47E-07
1.685	2.732	2.14E-07
1.686	2.731	1.84E-07
1.687	2.731	1.56E-07
1.688	2.731	1.30E-07
1.689	2.731	1.07E-07
1.69	2.731	8.54E-08
1.691	2.731	6.67E-08
1.692	2.731	5.03E-08
1.693	2.731	3.63E-08
1.694	2.731	2.45E-08
1.695	2.731	1.51E-08
1.696	2.731	7.89E-09
1.697	2.731	3.03E-09
1.698	2.73	4.52E-10
1.699	2.73	0.00E+00
1.7	2.73	0.00E+00
